name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
Biryani With Love,303354,57,Nayapalli,3.8,['Biryani'],25000,47,47,47,Nayapalli,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Kbr Roll and Rolls,83389,57,Sahid Nagar,4.1,['Fast Food'],15000,47,47,47,Sahid Nagar,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Ikka,87302,57,Patia,4.1,['Chinese'],40000,47,47,47,Near Hotel Suraj Palace,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
The Belgian Waffle Co.,341979,57,Sahid Nagar,--,"['Desserts', 'Beverages']",20000,47,47,47,Saheed Nagar,,,,2700,
HOTEL NEW TASTE,308105,57,Rasulgarh,--,['Indian'],20000,47,47,47,Rasulgarh,,,,2700,
SMJ FOOD,337528,57,Sahid Nagar,--,"['Biryani', 'Chinese', 'Indian']",20000,47,47,47,Sahid Nagar,20% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
ODIA BITES,333172,57,Sahid Nagar,--,"['Chinese', 'Indian', 'Biryani']",20000,47,47,47,Sahid Nagar,20% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
9th Street,77339,57,Sahid Nagar,4,"['North Indian', 'Chinese', 'Continental', 'Beverages']",60000,48,48,48,Unit 4,,,,2200,
Jyotis Kitchen,241737,57,Chandrashekarpur,4.1,"['Biryani', 'Chinese', 'Indian', 'Thalis']",15000,48,48,48,Chandrashekarpur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
Street Foods by Punjab Grill,82619,57,Rasulgarh,4.2,"['North Indian', 'Indian', 'Biryani', 'Punjabi', 'Fast Food', 'Kebabs', 'Mughlai', 'Desserts']",35000,48,48,48,Esplande,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
SAHEBZADDA,312403,57,Chandrashekarpur,4.2,"['Tandoor', 'Biryani', 'Chinese', 'Indian']",20000,48,48,48,Chandrashekarpur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Keventers - Milkshakes & Ice Cream,86982,57,Rasulgarh,4.3,"['Beverages', 'Ice Cream', 'Desserts', 'Healthy Food']",30000,48,48,48,Esplande Mall,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
BIRYANI POINT,322627,57,Patia,--,"['Biryani', 'Chinese']",20000,48,48,48,Patia,,,,2700,
ODIA BITES,333172,57,Sahid Nagar,--,"['Chinese', 'Indian', 'Biryani']",20000,48,48,48,Sahid Nagar,20% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
BIGGUY'S WINGERY,322930,57,Patia,--,['Fast Food'],30000,48,48,48,Patia,20% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
Shake Speare,328119,57,Patia,--,['Beverages'],20000,48,48,48,Patia,10% off | Use SWIGGYIT,Percentage,RESTAURANT,3200,
"Dewberries, The Cake Shop",338112,57,Patia,--,"['Indian', 'Bakery']",15000,48,48,48,Patia,40% off on orders above ₹199,Percentage,RESTAURANT,3200,
SILVER STICK,299673,57,Sahid Nagar,3.8,"['Chinese', 'Indian']",25000,49,49,49,Sahid Nagar,,,,2700,
Linkunara_The Kitchen,220513,57,Sahid Nagar,4,"['Fast Food', 'Biryani', 'Indian', 'North Indian', 'Combo', 'Desserts']",20000,49,49,49,"Satya Nagar ,Near Forum mall",50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Pizza Hut,78951,57,Sahid Nagar,4.1,"['Fast Food', 'Pizzas']",35000,49,49,49,Kharval Nagar,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
Hotel Manpasand,117879,57,Khandagiri,4.1,"['Indian', 'Chinese', 'Tandoor']",14000,49,49,49,Baramunda Housing Board Colony,30% off | Use SPECIALS,Percentage,RESTAURANT,0,
Biryani By Kilo,262280,57,Chandrashekarpur,4.2,"['Biryani', 'Mughlai', 'Kebabs', 'North Indian', 'Hyderabadi', 'Lucknowi', 'Andhra', 'South Indian']",70000,49,49,49,Chandrashekarpur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Hotel Royal Biryani Center,125593,57,Rasulgarh,4.2,"['Indian', 'Chinese', 'Tandoor']",25000,49,49,49,Rasulgarh,,,,2700,
Biryani And Boti,230207,57,Patia,--,"['Biryani', 'Tandoor']",25000,49,49,49,Mancheswar,40% off on orders above ₹149,Percentage,RESTAURANT,2200,
The Gourmet Shake,220316,57,Patia,--,"['Cafe', 'Desserts', 'Beverages', 'Ice Cream']",9900,49,49,49,Patia,,,,3200,
New Bawarchi Chinese Restaurant 8 inn 9 out,317632,57,Sahid Nagar,--,"['North Indian', 'Chinese', 'Fast Food']",30000,49,49,49,Sahid Nagar,,,,3700,
